area,perimeter,compactness,length_kernel,width_kernel,asymmetry_coeff,length_of_kernel_groove,target
20.1,16.99,0.8746,6.581,3.785,1.955,6.449,2
15.6,15.11,0.858,5.832,3.286,2.725,5.752,2
16.2,15.27,0.8734,5.826,3.464,2.823,5.527,1
11.23,12.82,0.8594,5.089,2.821,7.524,4.957,3
18.76,16.2,0.8984,6.172,3.796,3.12,6.053,2
19.14,16.61,0.8722,6.259,3.737,6.682,6.053,2
12.62,13.67,0.8481,5.41,2.911,3.306,5.231,3
14.99,14.56,0.8883,5.57,3.377,2.958,5.175,1
18.65,16.41,0.8698,6.285,3.594,4.391,6.102,2
11.27,12.97,0.8419,5.088,2.763,4.309,5.0,3
13.54,13.85,0.8871,5.348,3.156,2.587,5.178,1
14.43,14.4,0.8751,5.585,3.272,3.975,5.144,1
18.94,16.49,0.875,6.445,3.639,5.064,6.362,2
13.74,14.05,0.8744,5.482,3.114,2.932,4.825,1
16.44,15.25,0.888,5.884,3.505,1.969,5.533,1
16.82,15.51,0.8786,6.017,3.486,4.004,5.841,2
10.82,12.83,0.8256,5.18,2.63,4.853,5.089,3
10.93,12.8,0.839,5.046,2.717,5.398,5.045,3
20.71,17.23,0.8763,6.579,3.814,4.451,6.451,2
18.45,16.12,0.8921,6.107,3.769,2.235,5.794,2
17.12,15.55,0.8892,5.85,3.566,2.858,5.746,2
11.84,13.21,0.8521,5.175,2.836,3.598,5.044,3
15.26,14.84,0.871,5.763,3.312,2.221,5.22,1
14.01,14.29,0.8625,5.609,3.158,2.217,5.132,1
12.44,13.59,0.8462,5.319,2.897,4.924,5.27,3
12.08,13.23,0.8664,5.099,2.936,1.415,4.961,1
19.06,16.45,0.8854,6.416,3.719,2.248,6.163,2
11.48,13.05,0.8473,5.18,2.758,5.876,5.002,3
14.88,14.57,0.8811,5.554,3.333,1.018,4.956,1
17.98,15.85,0.8993,5.979,3.687,2.257,5.919,2
18.27,16.09,0.887,6.173,3.651,2.443,6.197,2
13.78,14.06,0.8759,5.479,3.156,3.136,4.872,1
12.11,13.27,0.8639,5.236,2.975,4.132,5.012,3
18.85,16.17,0.9056,6.152,3.806,2.843,6.2,2
11.83,13.23,0.8496,5.263,2.84,5.195,5.307,3
12.67,13.32,0.8977,4.984,3.135,2.3,4.745,3
18.72,16.19,0.8977,6.006,3.857,5.324,5.879,2
10.74,12.73,0.8329,5.145,2.642,4.702,4.963,3
16.12,15.0,0.9,5.709,3.485,2.27,5.443,1
20.97,17.25,0.8859,6.563,3.991,4.677,6.316,2
11.23,12.88,0.8511,5.14,2.795,4.325,5.003,3
12.13,13.73,0.8081,5.394,2.745,4.825,5.22,3
19.15,16.45,0.889,6.245,3.815,3.084,6.185,2
15.57,15.15,0.8527,5.92,3.231,2.64,5.879,2
13.2,13.66,0.8883,5.236,3.232,8.315,5.056,3
12.01,13.52,0.8249,5.405,2.776,6.992,5.27,3
12.46,13.41,0.8706,5.236,3.017,4.987,5.147,3
14.38,14.21,0.8951,5.386,3.312,2.462,4.956,1
10.79,12.93,0.8107,5.317,2.648,5.462,5.194,3
11.42,12.86,0.8683,5.008,2.85,2.7,4.607,1
11.18,13.04,0.8266,5.22,2.693,3.332,5.001,3
15.01,14.76,0.8657,5.789,3.245,1.791,5.001,1
12.1,13.15,0.8793,5.105,2.941,2.201,5.056,3
14.28,14.17,0.8944,5.397,3.298,6.685,5.001,1
15.05,14.68,0.8779,5.712,3.328,2.129,5.36,1
15.38,14.9,0.8706,5.884,3.268,4.462,5.795,2
18.72,16.34,0.881,6.219,3.684,2.188,6.097,2
13.16,13.55,0.9009,5.138,3.201,2.461,4.783,1
19.38,16.72,0.8716,6.303,3.791,3.678,5.965,2
12.54,13.67,0.8425,5.451,2.879,3.082,5.491,3
12.22,13.32,0.8652,5.224,2.967,5.469,5.221,3
18.43,15.97,0.9077,5.98,3.771,2.984,5.905,2
17.26,15.73,0.8763,5.978,3.594,4.539,5.791,2
13.5,13.85,0.8852,5.351,3.158,2.249,5.176,1
12.73,13.75,0.8458,5.412,2.882,3.533,5.067,1
12.7,13.71,0.8491,5.386,2.911,3.26,5.316,3
12.8,13.47,0.886,5.16,3.126,4.873,4.914,3
16.19,15.16,0.8849,5.833,3.421,0.903,5.307,1
18.3,15.89,0.9108,5.979,3.755,2.837,5.962,2
13.22,13.84,0.868,5.395,3.07,4.157,5.088,1
14.46,14.35,0.8818,5.388,3.377,2.802,5.044,1
14.29,14.09,0.905,5.291,3.337,2.699,4.825,1
13.84,13.94,0.8955,5.324,3.379,2.259,4.805,1
14.11,14.26,0.8722,5.52,3.168,2.688,5.219,1
11.36,13.05,0.8382,5.175,2.755,4.048,5.263,3
12.79,13.53,0.8786,5.224,3.054,5.483,4.958,3
12.38,13.44,0.8609,5.219,2.989,5.472,5.045,3
21.18,17.21,0.8989,6.573,4.033,5.78,6.231,2
18.36,16.52,0.8452,6.666,3.485,4.933,6.448,2
12.05,13.41,0.8416,5.267,2.847,4.988,5.046,3
14.92,14.43,0.9006,5.384,3.412,1.142,5.088,1
18.96,16.2,0.9077,6.051,3.897,4.334,5.75,2
18.81,16.29,0.8906,6.272,3.693,3.237,6.053,2
18.95,16.42,0.8829,6.248,3.755,3.368,6.148,2
11.65,13.07,0.8575,5.108,2.85,5.209,5.135,3
15.38,14.77,0.8857,5.662,3.419,1.999,5.222,1
20.16,17.03,0.8735,6.513,3.773,1.91,6.185,2
13.99,13.83,0.9183,5.119,3.383,5.234,4.781,1
15.03,14.77,0.8658,5.702,3.212,1.933,5.439,1
15.99,14.89,0.9064,5.363,3.582,3.336,5.144,2
12.19,13.2,0.8783,5.137,2.981,3.631,4.87,3
15.78,14.91,0.8923,5.674,3.434,5.593,5.136,1
14.69,14.49,0.8799,5.563,3.259,3.586,5.219,1
17.99,15.86,0.8992,5.89,3.694,2.068,5.837,2
11.82,13.4,0.8274,5.314,2.777,4.471,5.178,3
13.07,13.92,0.848,5.472,2.994,5.304,5.395,3
13.32,13.94,0.8613,5.541,3.073,7.035,5.44,3
12.72,13.57,0.8686,5.226,3.049,4.102,4.914,1
11.75,13.52,0.8082,5.444,2.678,4.378,5.31,3
16.63,15.46,0.8747,6.053,3.465,2.04,5.877,1
20.2,16.89,0.8894,6.285,3.864,5.173,6.187,2
12.74,13.67,0.8564,5.395,2.956,2.504,4.869,1
11.56,13.31,0.8198,5.363,2.683,4.062,5.182,3
14.37,14.39,0.8726,5.569,3.153,1.464,5.3,1
15.5,14.86,0.882,5.877,3.396,4.711,5.528,1
19.11,16.26,0.9081,6.154,3.93,2.936,6.079,2
11.41,12.95,0.856,5.09,2.775,4.957,4.825,3
10.91,12.8,0.8372,5.088,2.675,4.179,4.956,3
18.17,16.26,0.8637,6.271,3.512,2.853,6.273,2
17.63,15.98,0.8673,6.191,3.561,4.076,6.06,2
